"Thread-5", "287", "ReadersWriters.java:108", "Field Read", "context=Database:1, s1"
"Thread-5", "288", "ReadersWriters.java:109", "Line Step", "file=ReadersWriters.java, line=109"
"Thread-5", "289", "ReadersWriters.java:111", "Line Step", "file=ReadersWriters.java, line=111"
"Thread-5", "290", "ReadersWriters.java:111", "Method Exit", "returner=Database:1#request_write:1, value=<void>"
"Thread-5", "291", "ReadersWriters.java:173", "Method Returned", ""
"Thread-5", "292", "ReadersWriters.java:174", "Line Step", "file=ReadersWriters.java, line=174"
"Thread-5", "293", "ReadersWriters.java:174", "Field Read", "context=Writer:1, d"
"Thread-5", "294", "ReadersWriters.java:174", "Field Read", "context=Writer:1, x"
"Thread-5", "295", "ReadersWriters.java:174", "Method Call", "caller=Writer:1#run:1, target=Database:1#write:1"
"Thread-5", "296", "ReadersWriters.java:139", "Method Entered", ""
"Thread-5", "297", "ReadersWriters.java:139", "Variable Write", "context=Database:1#write:1, x=1"
"Thread-5", "298", "ReadersWriters.java:140", "Line Step", "file=ReadersWriters.java, line=140"
"Thread-5", "299", "ReadersWriters.java:140", "Field Read", "context=Database:1, data"
"Thread-5", "300", "ReadersWriters.java:140", "Field Write", "context=Database:1, data=1"
"Thread-5", "301", "ReadersWriters.java:141", "Line Step", "file=ReadersWriters.java, line=141"
"Thread-5", "302", "ReadersWriters.java:141", "Method Exit", "returner=Database:1#write:1, value=<void>"
"Thread-5", "303", "ReadersWriters.java:174", "Method Returned", ""
"Thread-5", "304", "ReadersWriters.java:175", "Line Step", "file=ReadersWriters.java, line=175"
"Thread-0", "305", "ReadersWriters.java:52", "Line Step", "file=ReadersWriters.java, line=52"
"Thread-0", "306", "ReadersWriters.java:52", "Field Read", "context=Database:1, w"
"Thread-0", "307", "ReadersWriters.java:54", "Line Step", "file=ReadersWriters.java, line=54"
"Thread-0", "308", "ReadersWriters.java:54", "Field Read", "context=Database:1, wr"
"Thread-0", "309", "ReadersWriters.java:54", "Field Write", "context=Database:1, wr=1"
"Thread-0", "310", "ReadersWriters.java:55", "Line Step", "file=ReadersWriters.java, line=55"
"Thread-0", "311", "ReadersWriters.java:55", "Field Read", "context=Database:1, s1"
"Thread-5", "312", "ReadersWriters.java:177", "Line Step", "file=ReadersWriters.java, line=177"
"Thread-5", "313", "ReadersWriters.java:177", "Field Read", "context=Writer:1, d"
"Thread-5", "314", "ReadersWriters.java:177", "Method Call", "caller=Writer:1#run:1, target=Database:1#done_write:1"
"Thread-5", "315", "ReadersWriters.java:113", "Method Entered", ""
"Thread-5", "316", "ReadersWriters.java:118", "Line Step", "file=ReadersWriters.java, line=118"
"Thread-5", "317", "ReadersWriters.java:118", "Field Read", "context=Database:1, s1"
"Thread-5", "318", "ReadersWriters.java:119", "Line Step", "file=ReadersWriters.java, line=119"
"Thread-5", "319", "ReadersWriters.java:119", "Field Write", "context=Database:1, w=0"
"Thread-5", "320", "ReadersWriters.java:121", "Line Step", "file=ReadersWriters.java, line=121"
"Thread-5", "321", "ReadersWriters.java:121", "Field Read", "context=Database:1, ww"
"Thread-5", "322", "ReadersWriters.java:127", "Line Step", "file=ReadersWriters.java, line=127"
"Thread-5", "323", "ReadersWriters.java:127", "Field Read", "context=Database:1, s2_r"
"Thread-5", "324", "ReadersWriters.java:130", "Line Step", "file=ReadersWriters.java, line=130"
"Thread-5", "325", "ReadersWriters.java:130", "Field Read", "context=Database:1, s1"
"Thread-0", "326", "ReadersWriters.java:56", "Line Step", "file=ReadersWriters.java, line=56"
"Thread-0", "327", "ReadersWriters.java:56", "Field Read", "context=Database:1, s2_r"
